1;arms_factory;2946.00;11.63;1364.00;0.45;0
1;arms_factory;2948.00;10.05;1356.00;3.47;0
1;arms_factory;2948.00;10.38;1357.00;6.13;0
1;arms_factory;2950.00;11.20;1370.00;2.51;0
1;arms_factory;2945.00;12.03;1368.00;4.07;0
1;arms_factory;2945.00;11.88;1369.00;1.91;0
1;industrial_complex;2950.00;12.05;1361.00;3.12;0
1;industrial_complex;2950.00;12.05;1361.00;0.96;0
1;industrial_complex;2950.00;12.40;1364.00;3.98;0
1;industrial_complex;2944.00;9.50;1357.00;0.36;0
1;industrial_complex;2945.00;9.60;1357.00;3.02;0
1;industrial_complex;2948.00;10.82;1371.00;5.69;0
1;air_base;2948.38;11.60;1359.45;0.15;0
1;naval_base;2954.00;9.70;1370.00;0.98;5579
1;naval_base;2942.00;9.50;1371.00;-2.60;5555
1;naval_base;2944.00;9.50;1360.00;-0.79;5579
1;bunker;2946.00;11.63;1364.00;5.69;0
1;bunker;2945.00;10.03;1361.00;2.07;0
1;bunker;2953.00;10.15;1364.00;6.20;0
1;coastal_bunker;2953.00;9.78;1372.00;0.98;0
1;coastal_bunker;2941.00;9.50;1360.00;-0.79;0
1;coastal_bunker;2940.00;9.50;1368.00;-1.19;0
1;dockyard;2953.00;9.50;1375.00;-3.00;0
1;anti_air_building;2952.00;10.80;1364.00;6.20;0
1;anti_air_building;2952.00;10.80;1364.00;2.59;0
1;anti_air_building;2943.00;10.30;1365.00;0.43;0
1;synthetic_refinery;2946.00;9.73;1358.00;1.63;0
1;nuclear_reactor;2948.00;10.82;1371.00;1.03;0
2;arms_factory;2999.00;10.28;1369.00;6.13;0
2;arms_factory;3015.00;12.43;1361.00;2.51;0
2;arms_factory;2994.00;10.00;1367.00;4.07;0
2;arms_factory;3004.00;10.38;1368.00;1.91;0
2;arms_factory;3008.00;10.80;1360.00;3.12;0
2;arms_factory;2992.00;11.23;1373.00;0.96;0
2;industrial_complex;3011.00;10.48;1354.00;3.98;0
2;industrial_complex;3023.00;10.43;1351.00;0.36;0
2;industrial_complex;3009.00;9.70;1352.00;3.02;0
2;industrial_complex;3005.00;9.68;1353.00;5.69;0
2;industrial_complex;2990.00;9.60;1366.00;2.43;0
2;industrial_complex;2999.00;10.55;1372.00;3.63;0
2;air_base;3000.23;9.90;1363.77;1.17;0
2;naval_base;3003.00;9.50;1352.00;-0.46;5656
2;naval_base;2993.00;9.50;1361.00;-0.93;5656
2;naval_base;3016.19;9.40;1348.04;-0.08;1452
2;naval_base;3020.02;10.10;1347.04;0.17;1452
2;naval_base;2987.00;9.50;1367.00;-0.90;5579
2;bunker;2997.00;9.60;1360.00;4.14;0
2;bunker;2993.00;9.80;1367.00;1.98;0
2;bunker;3017.00;10.60;1352.00;3.19;0
2;bunker;3003.00;10.32;1369.00;6.20;0
2;bunker;3012.00;12.03;1363.00;2.59;0
2;bunker;3012.00;10.15;1352.00;0.43;0
2;bunker;3005.00;10.13;1360.00;1.63;0
2;coastal_bunker;2989.00;9.50;1365.00;-0.90;0
2;coastal_bunker;3010.82;9.50;1347.24;-0.08;0
2;coastal_bunker;3020.00;9.50;1347.00;0.17;0
2;coastal_bunker;2998.00;9.50;1356.00;-0.93;0
2;coastal_bunker;3004.00;9.50;1352.00;-0.46;0
2;dockyard;3012.88;9.40;1348.53;0.32;0
2;anti_air_building;3009.00;11.30;1363.00;2.14;0
2;anti_air_building;3007.00;11.32;1368.00;5.16;0
2;anti_air_building;3013.00;11.30;1357.00;0.08;0
2;synthetic_refinery;3021.00;10.98;1354.00;4.21;0
2;nuclear_reactor;3002.00;9.70;1357.00;2.15;0
6;arms_factory;2884.00;9.73;1537.00;3.02;0
6;arms_factory;2875.92;9.60;1542.81;5.69;0
6;arms_factory;2862.00;9.70;1531.00;2.43;0
6;arms_factory;2855.50;9.60;1539.62;3.63;0
6;arms_factory;2855.00;9.80;1535.00;1.47;0
6;arms_factory;2879.00;9.70;1543.00;4.13;0
6;industrial_complex;2861.00;10.00;1533.00;5.69;0
6;industrial_complex;2870.00;9.70;1536.00;2.07;0
6;industrial_complex;2859.00;10.07;1538.00;6.20;0
6;industrial_complex;2881.00;9.70;1544.00;1.48;0
6;industrial_complex;2887.00;10.05;1540.00;4.14;0
6;industrial_complex;2872.00;9.70;1537.00;1.98;0
6;air_base;2866.79;10.20;1538.68;3.99;0
6;naval_base;2871.33;9.50;1543.73;-2.65;8621
6;naval_base;2847.73;9.50;1540.77;-2.68;8621
6;naval_base;2853.21;9.30;1542.71;-2.66;8621
6;bunker;2873.00;9.80;1533.00;1.63;0
6;bunker;2862.15;10.10;1539.29;4.65;0
6;bunker;2873.00;9.60;1542.00;1.03;0
6;bunker;2881.00;9.70;1540.00;3.69;0
6;bunker;2853.00;9.70;1535.00;1.54;0
6;bunker;2885.00;9.93;1535.00;3.10;0
6;bunker;2859.00;9.78;1532.00;5.76;0
6;bunker;2888.00;10.05;1540.00;2.14;0
6;coastal_bunker;2854.29;9.40;1541.74;-2.66;0
